name,Address,Postal Address,E-mail,Phone
Alekarenge School,"N/A, Ali Curung (Warrabri), NT","LMB 161, via Alice Springs, 0872, NT",admin.alekacec@education.nt.gov.au,(08) 8964 1957
Durack Primary School,"50 Woodlake Bvd, Durack, 0830, NT","PO Box  225, PALMERSTON, 0830, NT",durack.school@education.nt.gov.au,(08) 899 77555
Durack Pre School,"50 Woodlake Blvd, Durack, NT",", , , ",,(08) 899 77555
Alawa Pre School,"27 Pett St, Alawa, NT",", , , ",,(08) 899 77666
Alawa Primary School,"27 Pett Street, Alawa, 0810, NT","PO Box 40446, Casuarina, 0811, NT",alawa.school@education.nt.gov.au,(08) 899 77666
Elliott School,"91 Bray St, Elliott, NT","C/- Elliott Post Office, Elliott, 0862, NT",kevin.gaskin@education.nt.gov.au,(08) 8969 2122
Epenarra School,"N/A, Wutunugurra (Epenarra), NT","PMB 270, via Alice Springs, 0861, NT",jennifer.cadzow@education.nt.gov.au,(08) 8964 1512
Dundee Beach School,"500 Namarada Dr, Dundee Beach, NT","PO Box 145, Dundee Beach, 0840, NT",dundee.school@education.nt.gov.au,(08) 8978 2212
Alcoota School,"N/A, Engawala (Alcoota Stn), NT","PMB 129,, via Alice Springs, 0872, NT",tba,(08) 8956 9977
Adelaide River School,"31 Memorial Tce, Adelaide River, 0846, NT","C/- Post Office, Adelaide River, 0846, NT",adelaideriver.ps@education.nt.gov.au,(08) 8976 7034
Acacia Hill School,"80 Spearwood Rd, Alice Springs, 0870, NT","PO Box 435, ALICE SPRINGS, 0871, NT",acaciahill.school@education.nt.gov.au,(08) 895 52222
Driver Pre School,"37 Driver Ave, Driver, NT",", , , ",,(08) 893 59055
Driver Primary School,"37 Driver Ave, Driver, 0830, NT","PO Box  33, PALMERSTON, 0831, NT",admin.drivesch@education.nt.gov.au,(08) 893 59000
Dripstone Middle School,"10 Delamere St, Tiwi, 0810, NT","PO Box  41370, CASUARINA, 0811, NT",dripstone.middle@education.nt.gov.au,(08) 898 37777
Douglas Daly School,"Jungawa Rd, Douglas-Daly, NT","PMB 46, via Winnellie, 0822, NT",rosemary.sullivan@education.nt.gov.au,(08) 8978 2836
Yulara School,"21 Winmati St, Yulara, 0872, NT","PO Box 146, Yulara, 0872, NT",yulara.school@education.nt.gov.au,(08) 8956 2014
Darwin Middle School,"Atkins Drive, The Gardens, NT 0820, not available, NT","PO Box 2257, PARAP, 0804, NT",admin.darwinmiddle@education.nt.gov.au,(08) 894 25200
Yuendumu School,"Conniston Rd, Yuendumu, NT","C/ - Post Office, Yuendumu, 0870, NT",finance.yuendumu@education.nt.gov.au,(08) 8956 4011
Yuendumu Pre School,"Conniston Road, Yuendumu, NT",", , , ",,(08) 8956 4011
Yirrkala Pre School,"Rankine Road, Yirrkala, NT",", , , ",,(08) 898 71988
Yirrkala School,"Rankine Road, Yirrkala, NT","PO Box 896, Nhulunbuy, 0881, NT",admin.yirrkala@ntschools.net,(08) 898 71988
Yirara College,"470 South Stuart Highway, Alice Springs, NT","PMB 51, Alice Springs, 0871, NT",info@yirara.nt.edu.au,(08) 8950 5644
Yarralin School,"N/A, Yarralin, NT","PMB 34, via Katherine, 0851, NT",zoe.richardson@education.nt.gov.au,(08) 8975 0809
Wurankuwu Homeland Learning Centre,"Community ID 868, Wurankuwu, NT","Nguiu, Bathurst Island, 0822, NT",tba,(08) 8978 3986
Xavier CEC,"Kerinauia Hwy, Nguiu, NT","PMB 139,, via Winnellie, 0822, NT",admin.xcec@nt.catholic.edu.au,(08) 8978 3970
Yipirinya School,"Lovegrove Dr, Alice Springs, NT","C/- Yipirinya School Council Inc, PO Box 2363, Alice Springs, 0871, NT",yipirinya@yipirinya.com.au,(08) 8952 5633
Wulagi Pre School,"24 Brolga St, Wulagi, NT",", , , ",,(08) 898 37818
Wulagi Primary School,"24 Brolga St, Wulagi, 0812, NT","24 Brolga St, WULAGI, 0812, NT",wulagi.primary@education.nt.gov.au,(08) 898 37800
Wugularr School,"Laiwanga St, Wugularr, NT","PMB 6, Katherine, 0851, NT",admin.wugulsch@education.nt.gov.au,(08) 8975 4529
Woodroffe Pre School,"55 Woodroffe Ave, Woodroffe, NT",", , , ",,(08) 8983 7611
Woolaning School,"Litchfield Park Rd, Litchfield Park, NT","PO Box 3261, Palmerston, 0831, NT",admin.woolasch@education.nt.gov.au,(08) 8978 2334
Willowra School,"N/A, Willowra, NT","PMB 102, via Alice Springs, 0872, NT",willowra.school@education.nt.gov.au,(08) 8956 8408
Watiyawanu School,"N/A, Mt Liebig, NT","PMB 111, via Alice Springs, 0872, NT",tba,(08) 8956 8555
Woodroffe Primary School,"55 Woodroffe Ave, Woodroffe, 0830, NT","PO Box 2021, PALMERSTON, 0831, NT",woodroffe.ps@education.nt.gov.au,(08) 898 37600
Zuccoli Primary School,"130 Zuccoli Parade, Zuccoli, 0830, NT","PO Box 2222, PALMERSTON, 0832, NT",ZuccoliPrimary@ntschools.net,(08) 792 30222
Watarrka School,"n/a, Lilla Community, NT","Education Stores, Shed 9, 66A Smith St, Alice Springs, 0870, NT",tba,(08) 8956 7758
