player_name,year,season,week,game_date,opponent,result
Khalil Mack,2015,Preseason,4,09/04/2015,@Seahawks,L 21 - 31
Khalil Mack,2015,Preseason,3,08/31/2015,Cardinals,L 23 - 30
Khalil Mack,2015,Preseason,2,08/23/2015,@Vikings,L 12 - 20
Khalil Mack,2015,Preseason,1,08/15/2015,Rams,W 18 - 3
Khalil Mack,2015,Regular Season,17,01/03/2016,@Chiefs,L 17 - 23
Khalil Mack,2015,Regular Season,16,12/25/2015,Chargers,W 23 - 20
Khalil Mack,2015,Regular Season,15,12/20/2015,Packers,L 20 - 30
Khalil Mack,2015,Regular Season,14,12/13/2015,@Broncos,W 15 - 12
Khalil Mack,2015,Regular Season,13,12/06/2015,Chiefs,L 20 - 34
Khalil Mack,2015,Regular Season,12,11/29/2015,@Titans,W 24 - 21
Khalil Mack,2015,Regular Season,11,11/22/2015,@Lions,L 13 - 18
Khalil Mack,2015,Regular Season,10,11/15/2015,Vikings,L 14 - 30
Khalil Mack,2015,Regular Season,9,11/08/2015,@Steelers,L 35 - 38
Khalil Mack,2015,Regular Season,8,11/01/2015,Jets,W 34 - 20
Khalil Mack,2015,Regular Season,7,10/25/2015,@Chargers,W 37 - 29
Khalil Mack,2015,Regular Season,5,10/11/2015,Broncos,L 10 - 16
Khalil Mack,2015,Regular Season,4,10/04/2015,@Bears,L 20 - 22
Khalil Mack,2015,Regular Season,3,09/27/2015,@Browns,W 27 - 20
Khalil Mack,2015,Regular Season,2,09/20/2015,Ravens,W 37 - 33
Khalil Mack,2015,Regular Season,1,09/13/2015,Bengals,L 13 - 33
Khalil Mack,2014,Preseason,4,08/29/2014,Seahawks,W 41 - 31
Khalil Mack,2014,Preseason,3,08/23/2014,@Packers,L 21 - 31
Khalil Mack,2014,Preseason,2,08/16/2014,Lions,W 27 - 26
Khalil Mack,2014,Preseason,1,08/09/2014,@Vikings,L 6 - 10
Khalil Mack,2014,Regular Season,17,12/28/2014,@Broncos,L 14 - 47
Khalil Mack,2014,Regular Season,16,12/21/2014,Bills,W 26 - 24
Khalil Mack,2014,Regular Season,15,12/14/2014,@Chiefs,L 13 - 31
Khalil Mack,2014,Regular Season,14,12/07/2014,Niners,W 24 - 13
Khalil Mack,2014,Regular Season,13,11/30/2014,@Rams,L 0 - 52
Khalil Mack,2014,Regular Season,12,11/21/2014,Chiefs,W 24 - 20
Khalil Mack,2014,Regular Season,11,11/16/2014,@Chargers,L 6 - 13
Khalil Mack,2014,Regular Season,10,11/09/2014,Broncos,L 17 - 41
Khalil Mack,2014,Regular Season,9,11/02/2014,@Seahawks,L 24 - 30
Khalil Mack,2014,Regular Season,8,10/26/2014,@Browns,L 13 - 23
Khalil Mack,2014,Regular Season,7,10/19/2014,Cardinals,L 13 - 24
Khalil Mack,2014,Regular Season,6,10/12/2014,Chargers,L 28 - 31
Khalil Mack,2014,Regular Season,4,09/28/2014,Dolphins,L 14 - 38
Khalil Mack,2014,Regular Season,3,09/21/2014,@Patriots,L 9 - 16
Khalil Mack,2014,Regular Season,2,09/14/2014,Texans,L 14 - 30
Khalil Mack,2014,Regular Season,1,09/07/2014,@Jets,L 14 - 19
Khalil Mack,2016,Preseason,4,09/02/2016,Seahawks,L 21 - 23
Khalil Mack,2016,Preseason,3,08/28/2016,Titans,L 14 - 27
Khalil Mack,2016,Preseason,2,08/19/2016,@Packers,L 12 - 20
Khalil Mack,2016,Preseason,1,08/13/2016,@Cardinals,W 31 - 10
Khalil Mack,2016,Regular Season,17,01/01/2017,@Broncos,L 6 - 24
Khalil Mack,2016,Regular Season,16,12/24/2016,Colts,W 33 - 25
Khalil Mack,2016,Regular Season,15,12/18/2016,@Chargers,W 19 - 16
Khalil Mack,2016,Regular Season,14,12/09/2016,@Chiefs,L 13 - 21
Khalil Mack,2016,Regular Season,13,12/04/2016,Bills,W 38 - 24
Khalil Mack,2016,Regular Season,12,11/27/2016,Panthers,W 35 - 32
Khalil Mack,2016,Regular Season,11,11/22/2016,Texans,W 27 - 20
Khalil Mack,2016,Regular Season,9,11/07/2016,Broncos,W 30 - 20
Khalil Mack,2016,Regular Season,8,10/30/2016,@Buccaneers,W 30 - 24
Khalil Mack,2016,Regular Season,7,10/23/2016,@Jaguars,W 33 - 16
Khalil Mack,2016,Regular Season,6,10/16/2016,Chiefs,L 10 - 26
Khalil Mack,2016,Regular Season,5,10/09/2016,Chargers,W 34 - 31
Khalil Mack,2016,Regular Season,4,10/02/2016,@Ravens,W 28 - 27
Khalil Mack,2016,Regular Season,3,09/25/2016,@Titans,W 17 - 10
Khalil Mack,2016,Regular Season,2,09/18/2016,Falcons,L 28 - 35
Khalil Mack,2016,Regular Season,1,09/11/2016,@Saints,W 35 - 34
Khalil Mack,2016,Post Season,1,01/07/2017,@Texans,L 14 - 27
Khalil Mack,2017,Preseason,4,09/01/2017,Seahawks,L 13 - 17
Khalil Mack,2017,Preseason,3,08/27/2017,@Cowboys,L 20 - 24
Khalil Mack,2017,Preseason,2,08/20/2017,Rams,L 21 - 24
Khalil Mack,2017,Preseason,1,08/13/2017,@Cardinals,L 10 - 20
Khalil Mack,2017,Regular Season,17,12/31/2017,@Chargers,L 10 - 30
Khalil Mack,2017,Regular Season,16,12/26/2017,@Eagles,L 10 - 19
Khalil Mack,2017,Regular Season,15,12/18/2017,Cowboys,L 17 - 20
Khalil Mack,2017,Regular Season,14,12/10/2017,@Chiefs,L 15 - 26
Khalil Mack,2017,Regular Season,13,12/03/2017,Giants,W 24 - 17
Khalil Mack,2017,Regular Season,12,11/26/2017,Broncos,W 21 - 14
Khalil Mack,2017,Regular Season,11,11/19/2017,Patriots,L 8 - 33
Khalil Mack,2017,Regular Season,9,11/06/2017,@Dolphins,W 27 - 24
Khalil Mack,2017,Regular Season,8,10/29/2017,@Bills,L 14 - 34
Khalil Mack,2017,Regular Season,7,10/20/2017,Chiefs,W 31 - 30
Khalil Mack,2017,Regular Season,6,10/15/2017,Chargers,L 16 - 17
Khalil Mack,2017,Regular Season,5,10/08/2017,Ravens,L 17 - 30
Khalil Mack,2017,Regular Season,4,10/01/2017,@Broncos,L 10 - 16
Khalil Mack,2017,Regular Season,3,09/25/2017,@Redskins,L 10 - 27
Khalil Mack,2017,Regular Season,2,09/17/2017,Jets,W 45 - 20
Khalil Mack,2017,Regular Season,1,09/10/2017,@Titans,W 26 - 16
Khalil Mack,2018,Regular Season,17,12/30/2018,@Vikings,W 24 - 10
Khalil Mack,2018,Regular Season,16,12/23/2018,@49ers,W 14 - 9
Khalil Mack,2018,Regular Season,15,12/16/2018,Packers,W 24 - 17
Khalil Mack,2018,Regular Season,14,12/10/2018,Rams,W 15 - 6
Khalil Mack,2018,Regular Season,13,12/02/2018,@Giants,L 27 - 30
Khalil Mack,2018,Regular Season,12,11/22/2018,@Lions,W 23 - 16
Khalil Mack,2018,Regular Season,11,11/19/2018,Vikings,W 25 - 20
Khalil Mack,2018,Regular Season,10,11/11/2018,Lions,W 34 - 22
Khalil Mack,2018,Regular Season,9,11/04/2018,@Bills,W 41 - 9
Khalil Mack,2018,Regular Season,8,10/28/2018,Jets,W 24 - 10
Khalil Mack,2018,Regular Season,7,10/21/2018,Patriots,L 31 - 38
Khalil Mack,2018,Regular Season,6,10/14/2018,@Dolphins,L 28 - 31
Khalil Mack,2018,Regular Season,4,09/30/2018,Buccaneers,W 48 - 10
Khalil Mack,2018,Regular Season,3,09/23/2018,@Cardinals,W 16 - 14
Khalil Mack,2018,Regular Season,2,09/18/2018,Seahawks,W 24 - 17
Khalil Mack,2018,Regular Season,1,09/10/2018,@Packers,L 23 - 24
Khalil Mack,2018,Post Season,1,01/06/2019,Eagles,L 15 - 16
Khalil Mack,2019,Preseason,4,08/30/2019,Titans,L 15 - 19
Khalil Mack,2019,Preseason,3,08/24/2019,@Colts,W 27 - 17
Khalil Mack,2019,Preseason,2,08/16/2019,@Giants,L 13 - 32
Khalil Mack,2019,Preseason,1,08/09/2019,Panthers,L 13 - 23
Khalil Mack,2019,Regular Season,17,12/29/2019,@Vikings,W 21 - 19
Khalil Mack,2019,Regular Season,16,12/23/2019,Chiefs,L 3 - 26
Khalil Mack,2019,Regular Season,15,12/15/2019,@Packers,L 13 - 21
Khalil Mack,2019,Regular Season,14,12/06/2019,Cowboys,W 31 - 24
Khalil Mack,2019,Regular Season,13,11/28/2019,@Lions,W 24 - 20
Khalil Mack,2019,Regular Season,12,11/24/2019,Giants,W 19 - 14
Khalil Mack,2019,Regular Season,11,11/18/2019,@Rams,L 7 - 17
